ID	BUILDING_NAME	FLOOR_NUMBER	ROOM_#	ROOM_TYPE
66	BACHELOR HALL	3	339	Mens
67	BACHELOR HALL	3	340	Womens
68	BACHELOR HALL	3	381	Mens
69	BACHELOR HALL	3	383	Womens
70	BEECHWOODS HALL	1	173	All Gender
71	BEECHWOODS HALL	1	174	All Gender
72	BENTON HALL	0	020	Mens
73	BENTON HALL	0	022	Womens
74	BENTON HALL	1	101	Womens
75	BENTON HALL	1	105	Mens
76	BENTON HALL	1	110	Mens
77	BENTON HALL	1	112	Womens
78	BENTON HALL	2	210	Mens
79	BENTON HALL	2	212	Womens
80	BISHOP HALL	0	020	Mens
81	BISHOP HALL	0	022	Womens
82	BONHAM HOUSE	1	114	All Gender
83	BONHAM HOUSE	2	218	All Gender
84	BOYD HALL	0	023	Mens
85	BOYD HALL	0	025	Womens
86	BOYD HALL	1	113	Womens
87	BOYD HALL	1	129	Mens
88	BOYD HALL	2	227B	Mens
89	BOYD HALL	2	229	Womens
90	CAMPUS AVENUE BUILDING	0	006	Womens
91	CAMPUS AVENUE BUILDING	0	035	Mens
92	CAMPUS AVENUE BUILDING	0	036	Womens
93	CAMPUS AVENUE BUILDING	0	038	All Gender
94	CAMPUS AVENUE BUILDING	1	114	Mens
95	CAMPUS AVENUE BUILDING	1	116	Womens
96	CAMPUS AVENUE BUILDING	1	130	Womens
97	CAMPUS AVENUE BUILDING	1	131	Mens
98	CAMPUS AVENUE BUILDING	2	204	Mens
99	CAMPUS AVENUE BUILDING	2	206	Womens
100	CENTER FOR PERFORMING ARTS	0	085	Mens
101	CENTER FOR PERFORMING ARTS	0	092	Mens
102	CENTER FOR PERFORMING ARTS	0	093	Womens
103	CENTER FOR PERFORMING ARTS	0	097	Womens
104	CENTER FOR PERFORMING ARTS	1	116	Womens
105	CENTER FOR PERFORMING ARTS	1	118	Mens
106	CENTER FOR PERFORMING ARTS	1	146	Womens
107	CENTER FOR PERFORMING ARTS	1	148	Mens
108	CENTER FOR PERFORMING ARTS	2	222	Womens
109	CENTER FOR PERFORMING ARTS	2	226	Mens
110	CHESTNUT FIELD HOUSE	1	104	Mens
111	CHESTNUT FIELD HOUSE	1	105	Womens
112	CLAWSON HALL	0	001A	Staff
113	CLAWSON HALL	1	124	All Gender
114	CLAWSON HALL	1	126	All Gender
115	COLE SERVICE BUILDING	1	110	Womens
116	COLE SERVICE BUILDING	1	112	Mens
117	COLE SERVICE BUILDING	1	139	Mens
118	COLE SERVICE BUILDING	1	142	Womens
119	COLE SERVICE BUILDING	1	168	Womens
120	COLE SERVICE BUILDING	1	170	Mens
121	COLE WELDING SHOP	1	102	All Gender
122	COLLINS HALL	0	011A	
123	COLLINS HALL	1	119	All Gender
124	COOK FIELD SHELTER	1	102	
125	COOK FIELD SHELTER	1	103	
126	COOK PLACE	1	110	Staff
127	COOK PLACE	2	203	Staff
128	DAUCH INDOOR SPORTS CENTER	1	108	Mens
129	DAUCH INDOOR SPORTS CENTER	1	109	Womens
130	DENNISON HALL	0	002A	Staff
131	DENNISON HALL	1	170	All Gender
132	DENNISON HALL	1	192	All Gender
133	DODDS HALL	0	012	Womens
134	DODDS HALL	0	013	Staff
135	DODDS HALL	0	014	
136	DODDS HALL	1	158	All Gender
137	DORSEY HALL	0	017A	Staff
138	DORSEY HALL	1	125	
139	DORSEY HALL	1	129	All Gender
140	ECOLOGY RESEARCH CENTER	1	110	Mens
141	ECOLOGY RESEARCH CENTER	1	111	Womens
142	EMERSON HALL	0	014	Womens
143	EMERSON HALL	0	015	Staff Mens
144	EMERSON HALL	0	017	
145	ENGINEERING BUILDING	0	059	Mens
146	ENGINEERING BUILDING	0	061	Womens
147	ENGINEERING BUILDING	1	157	Mens
148	ENGINEERING BUILDING	1	161	Womens
149	ENGINEERING BUILDING	2	263	Mens
150	ENGINEERING BUILDING	2	265	Womens
151	ENGINEERING RESEARCH ANNEX	1	100A	All Gender
152	EQUESTRIAN CENTER STABLES	1	101A	
153	EQUESTRIAN CENTER STABLES	1	101B	
154	ETHERIDGE HALL	0	002B	
155	ETHERIDGE HALL	1	136	All Gender
156	ETHERIDGE HALL	1	137	All Gender
157	ETHERIDGE HALL	1	154	"Accessible, All Gender"
158	ETHERIDGE HALL	1	155	All Gender
159	FARMER SCHOOL OF BUSINESS	0	0008	Womens
160	FARMER SCHOOL OF BUSINESS	0	0010	Mens
161	FARMER SCHOOL OF BUSINESS	0	0022	Mens
162	FARMER SCHOOL OF BUSINESS	0	0023	Womens
163	FARMER SCHOOL OF BUSINESS	0	0029	Mens
164	FARMER SCHOOL OF BUSINESS	0	0030	Womens
165	FARMER SCHOOL OF BUSINESS	0	0040	Mens
166	FARMER SCHOOL OF BUSINESS	0	0041	Womens
167	FARMER SCHOOL OF BUSINESS	1	1003	Mens
168	FARMER SCHOOL OF BUSINESS	1	1004	Womens
169	FARMER SCHOOL OF BUSINESS	1	1017	Womens
170	FARMER SCHOOL OF BUSINESS	1	1018	Mens
171	FARMER SCHOOL OF BUSINESS	1	1024	Mens
172	FARMER SCHOOL OF BUSINESS	1	1025	Womens
173	FARMER SCHOOL OF BUSINESS	1	1029	All Gender
174	FARMER SCHOOL OF BUSINESS	2	2005	Mens
175	FARMER SCHOOL OF BUSINESS	2	2009	Womens
176	FARMER SCHOOL OF BUSINESS	2	2038	Mens
177	FARMER SCHOOL OF BUSINESS	2	2039	Womens
178	FARMER SCHOOL OF BUSINESS	2	2047	Mens
179	FARMER SCHOOL OF BUSINESS	2	2048	Womens
180	FARMER SCHOOL OF BUSINESS	2	2076	
181	FARMER SCHOOL OF BUSINESS	3	3032	Womens
182	FARMER SCHOOL OF BUSINESS	3	3034	Mens
183	FARMER SCHOOL OF BUSINESS	3	3062	Mens
184	FARMER SCHOOL OF BUSINESS	3	3063	Faculty
185	FARMER SCHOOL OF BUSINESS	3	3082	Mens
186	FARMER SCHOOL OF BUSINESS	3	3084	Womens
187	FARMER SCHOOL OF BUSINESS	3	3117	
188	FARMER SCHOOL OF BUSINESS	3	3118	
189	FLOWER HALL	0	048A	Staff
190	FLOWER HALL	1	130	All Gender
191	GARDEN COMMONS DINING	1	105	Womens
192	GARDEN COMMONS DINING	1	106	Mens
193	GLOS CENTER	1	103A	All Gender
194	GLOS CENTER	2	214	All Gender
195	GLOS CENTER	2	220	All Gender
196	GLOS CENTER	3	300	All Gender
197	GOGGIN ICE CENTER	1	119	Mens
198	GOGGIN ICE CENTER	1	120	Womens
199	GOGGIN ICE CENTER	1	121	Family
200	GOGGIN ICE CENTER	2	202	Mens
201	GOGGIN ICE CENTER	2	203	Womens
202	GOGGIN ICE CENTER	2	206	Womens
203	GOGGIN ICE CENTER	2	207	Mens
204	GOGGIN ICE CENTER	2	214	Mens
205	GOGGIN ICE CENTER	2	215	Family
206	GOGGIN ICE CENTER	2	217	Womens
207	GOGGIN ICE CENTER	2	218	Womens
208	GOGGIN ICE CENTER	2	222	Mens
209	GOGGIN ICE CENTER	3	324	Family
210	GOGGIN ICE CENTER	3	335	Mens
211	GOGGIN ICE CENTER	3	337	Womens
212	GROSS STUDENT ATHLETE DEVELOPMENT CENTER	0	003	Mens
213	GROSS STUDENT ATHLETE DEVELOPMENT CENTER	0	005	Womens
214	GROSS STUDENT ATHLETE DEVELOPMENT CENTER	1	102	Mens
215	GROSS STUDENT ATHLETE DEVELOPMENT CENTER	1	103	Womens
216	HAHNE HALL	0	022A	Staff
217	HAHNE HALL	1	120A	All Gender
218	HALL AUDITORIUM	1	104	Mens
219	HALL AUDITORIUM	1	108	Womens
220	HALL AUDITORIUM	2	204	All Gender
221	HALL AUDITORIUM	2	206	All Gender
222	HAMILTON HALL	0	017	
223	HAMILTON HALL	0	018	
224	HAMILTON HALL	0	021	
225	HAMILTON HALL	1	128	All Gender
226	HAMILTON HALL	1	129	All Gender
227	HAMILTON HALL	1	151	All Gender
228	HAMILTON HALL	1	154	
229	HAMILTON HALL	1	155	
230	HANNA HOUSE	0	008	All Gender
231	HANNA HOUSE	1	106	All Gender
232	HANNA HOUSE	1	106A	All Gender
233	HANNA HOUSE	1	107	All Gender
234	HANNA HOUSE	1	110	All Gender
235	HANNA HOUSE	2	204	All Gender
236	HANNA HOUSE	2	208	All Gender
237	HANNA HOUSE	2	208A	Womens
238	HARRIS HALL	1	104	Womens
239	HARRIS HALL	1	107	All Gender
240	HARRIS HALL	1	112	All Gender
241	HARRIS HALL	1	115	Mens
242	HARRISON HALL	0	011	Mens
243	HARRISON HALL	0	013	Womens
244	HARRISON HALL	0	013A	Womens
245	HARRISON HALL	2	216	Womens
246	HARRISON HALL	3	318	Mens
247	HAVIGHURST HALL	0	006	Staff Mens
248	HAVIGHURST HALL	0	008	Womens
249	HAVIGHURST HALL	0	027	All Gender
250	HAYDEN BASEBALL CENTER	2	205	
251	HAYDEN PARK/McKIE FIELD MAIN BUILDING	1	101	Mens
252	HAYDEN PARK/McKIE FIELD MAIN BUILDING	1	103	Womens
253	HAYDEN PARK/McKIE FIELD MAIN BUILDING	1	110	Womens
254	HAYDEN PARK/McKIE FIELD MAIN BUILDING	1	111	Mens
255	HEALTH SERVICES CENTER	1	105	All Gender
256	HEALTH SERVICES CENTER	1	106	All Gender
257	HEALTH SERVICES CENTER	1	114	
258	HEALTH SERVICES CENTER	1	119	Patient
259	HEALTH SERVICES CENTER	1	120	Patient
260	HEALTH SERVICES CENTER	1	122	All Gender
261	HEALTH SERVICES CENTER	1	123	All Gender
262	HEALTH SERVICES CENTER	1	142	All Gender
263	HEALTH SERVICES CENTER	1	152	All Gender
264	HEALTH SERVICES CENTER	1	167	Staff Mens
265	HEALTH SERVICES CENTER	1	168	Womens
266	HEALTH SERVICES CENTER	1	193	All Gender
267	HEALTH SERVICES CENTER	1	194	All Gender
268	HEPBURN HALL	0	039A	Staff
269	HEPBURN HALL	1	125	"Accessible, All Gender"
270	HERITAGE COMMONS CENTER	1	106	Mens
271	HERITAGE COMMONS CENTER	1	108	Womens
272	HIESTAND HALL	0	018	Mens
273	HIESTAND HALL	1	116	Womens
274	HIESTAND HALL	2	214	Mens
275	HILLCREST HALL	1	174	All Gender
276	HILLCREST HALL	1	175	All Gender
277	HOYT HALL	1	101	Womens
278	HOYT HALL	1	102	Mens
279	HOYT HALL	1	107	All Gender
280	HOYT HALL	2	201	Womens
281	HOYT HALL	2	202	Mens
282	HOYT HALL	3	300	Womens
283	HOYT HALL	3	301	Mens
284	HUGHES HALL	0	024	Womens
285	HUGHES HALL	0	026	Mens
286	HUGHES HALL	0	045	Mens
287	HUGHES HALL	0	061	Womens
288	HUGHES HALL	1	120	Womens
289	HUGHES HALL	1	122	Mens
290	HUGHES HALL	1	150	Womens
291	HUGHES HALL	1	151	Mens
292	HUGHES HALL	1	171	Mens
293	HUGHES HALL	1	180	Womens
294	HUGHES HALL	2	201	Mens
295	HUGHES HALL	2	202	Womens
296	HUGHES HALL	2	219A	All Gender
297	HUGHES HALL	2	219B	All Gender
298	HUGHES HALL	2	250	Mens
299	HUGHES HALL	2	251	Womens
300	HUGHES HALL	2	271	Mens
301	HUGHES HALL	2	280	Womens
302	HUGHES HALL	3	300A	All Gender
303	HUGHES HALL	3	300B	All Gender
304	HUGHES HALL	3	302	Mens
305	HUGHES HALL	3	303	Womens
306	HUGHES HALL	3	350	Mens
307	HUGHES HALL	3	351	Womens
308	HUGHES HALL	3	371	Mens
309	HUGHES HALL	3	380	Womens
310	HUGHES HALL	4	418	Womens
311	HUGHES HALL	4	419	Mens
312	IRVIN HALL	0	025	Womens
313	IRVIN HALL	0	035	Mens
314	IRVIN HALL	1	125	Womens
315	IRVIN HALL	1	133	Mens
316	IRVIN HALL	2	229	Womens
317	IRVIN HALL	2	239	Mens
318	JOYNER HOUSE	2	203	Womens
319	JOYNER HOUSE	2	205	Mens
320	JOYNER HOUSE	2	206	Womens
321	KING LIBRARY	0	003	Mens
322	KING LIBRARY	0	004	Vestibule
323	KING LIBRARY	0	004A	Womens
324	KING LIBRARY	0	024	Vestibule
325	KING LIBRARY	0	024A	Womens
326	KING LIBRARY	0	025	Mens
327	KING LIBRARY	1	115	Mens
328	KING LIBRARY	1	115A	Vestibule
329	KING LIBRARY	1	116	"Accessible, All Gender"
330	KING LIBRARY	1	118	Womens
331	KING LIBRARY	1	118A	Vestibule
332	KING LIBRARY	2	229	Mens
333	KING LIBRARY	2	230	"Accessible, All Gender"
334	KING LIBRARY	2	232	Womens
335	KING LIBRARY	2	234	Womens
336	KING LIBRARY	2	235	Mens
337	KING LIBRARY	3	315	Vestibule
338	KING LIBRARY	3	316	All Gender
339	KING LIBRARY	3	318	Vestibule
340	KREGER HALL	1	118	
341	KREGER HALL	1	119	
342	KREGER HALL	1	135	
343	KREGER HALL	1	137	
344	KREGER HALL	2	211	Mens
345	KREGER HALL	2	218	Womens
346	KREGER HALL	3	313	Womens
347	KREGER HALL	3	325	Mens
348	KUMLER CHAPEL	1	105	All Gender
349	LANGSTROTH COTTAGE	1	105B	All Gender
350	LANGSTROTH COTTAGE	2	203	All Gender
351	LAWS HALL	0	013	Womens
352	LAWS HALL	0	015	Mens
353	LAWS HALL	1	101	Family
354	LAWS HALL	1	107	Mens
355	LAWS HALL	1	109	Womens
356	LAWS HALL	2	214	
357	LAWS HALL	2	218	
358	LAWS HALL	2	270	Womens
359	LAWS HALL	2	280	Mens
360	LAWS HALL	3	370	Womens
361	LAWS HALL	3	380	Mens
362	MACCRACKEN HALL	0	009	Staff Mens
363	MACCRACKEN HALL	0	011	Staff Womens
364	MACCRACKEN HALL	0	017	
365	MACCRACKEN HALL	0	025	Womens
366	MACCRACKEN HALL	0	030	Mens
367	MACCRACKEN HALL	1	125	All Gender
368	MACCRACKEN HALL	1	135A	
369	MACMILLAN HALL	0	001	Mens
370	MACMILLAN HALL	0	024	Womens
371	MACMILLAN HALL	1	100	Womens
372	MACMILLAN HALL	1	117	Mens
373	MACMILLAN HALL	2	200	Womens
374	MACMILLAN HALL	2	213	Mens
375	MAPLESTREET STATION	1	101	Staff
376	MAPLESTREET STATION	1	112	Mens
377	MAPLESTREET STATION	1	113	Womens
378	MAPLESTREET STATION	1	119	Womens
379	MAPLESTREET STATION	1	120	Mens
380	MAPLESTREET STATION	1	130	Womens
381	MAPLESTREET STATION	1	131	Mens
382	MAPLESTREET STATION	1	134	Staff
383	MAPLESTREET STATION	3	305	Womens
384	MAPLESTREET STATION	3	306	Mens
385	MARCUM HOTEL & CONFERENCE CENTER	0	010	Mens
386	MARCUM HOTEL & CONFERENCE CENTER	0	012	Womens
387	MARCUM HOTEL & CONFERENCE CENTER	1	117	Accessible
388	MARCUM HOTEL & CONFERENCE CENTER	1	118	Mens
389	MARCUM HOTEL & CONFERENCE CENTER	1	122	Womens
390	MARCUM HOTEL & CONFERENCE CENTER	1	174	Mens
391	MARCUM HOTEL & CONFERENCE CENTER	1	176	Womens
392	MARTIN DINING HALL	0	003	
393	MARTIN DINING HALL	0	007	Womens
394	MARTIN DINING HALL	0	008	Mens
395	MARTIN DINING HALL	0	013	Staff Mens
396	MARTIN DINING HALL	0	014	Staff Womens
397	MARTIN DINING HALL	1	101	Mens
398	MARTIN DINING HALL	1	102	Womens
399	MCBRIDE HALL	0	006A	
400	MCBRIDE HALL	1	121	All Gender
401	MCGUFFEY HALL	1	102	Womens
402	MCGUFFEY HALL	1	113	Mens
403	MCGUFFEY HALL	1	114	Plumbing Access
404	MCGUFFEY HALL	1	115	Womens
405	MCGUFFEY HALL	2	203	All Gender
406	MCGUFFEY HALL	2	210	Womens
407	MCGUFFEY HALL	2	211	Plumbing Access
408	MCGUFFEY HALL	2	212	Mens
409	MCGUFFEY HALL	3	303	Womens
410	MCGUFFEY HALL	3	308	Mens
411	MCGUFFEY HALL	3	309	Plumbing Access
412	MCGUFFEY HALL	3	310	Womens
413	MCGUFFEY HALL	4	403	Mens
414	MCGUFFEY HALL	4	411	Womens
415	MCGUFFEY HALL	4	413	Mens
416	MCKEE HALL	0	008	
417	MCKEE HALL	0	010	
418	MIAMI INN	0	011	Womens
419	MIAMI INN	0	012	Mens
420	MIAMI INN	1	105	All Gender
421	MIAMI INN	1	106	All Gender
422	MILLETT HALL	0	004A	
423	MILLETT HALL	0	004C	
424	MILLETT HALL	0	072	Mens
425	MILLETT HALL	0	074	Womens
426	MILLETT HALL	1	114	
427	MILLETT HALL	1	115	
428	MILLETT HALL	2	222	Womens
429	MILLETT HALL	2	222A	Womens
430	MILLETT HALL	2	223	Mens
431	MILLETT HALL	2	223A	Mens
432	MILLETT HALL	2	224	Womens
433	MILLETT HALL	2	226	Mens
434	MILLETT HALL	2	227	Womens
435	MILLETT HALL	2	251	Mens
436	MILLETT HALL	2	252	Womens
437	MILLETT HALL	2	252A	Womens
438	MILLETT HALL	2	253	Mens
439	MILLETT HALL	2	253A	Mens
440	MILLETT HALL	0	004B	All Gender
441	MINNICH HALL	0	008B	Staff
442	MINNICH HALL	0	014	
443	MINNICH HALL	0	019	
444	MINNICH HALL	1	142	All Gender
445	MINNICH HALL	1	143	All Gender
446	MORRIS HALL	0	014	Staff Womens
447	MORRIS HALL	0	015	Staff Mens
448	MORRIS HALL	0	017	
449	MURSTEIN-CLIMER ALUMNI CENTER	0	010	Mens
450	MURSTEIN-CLIMER ALUMNI CENTER	0	012	Womens
451	MURSTEIN-CLIMER ALUMNI CENTER	1	151	Womens
452	MURSTEIN-CLIMER ALUMNI CENTER	1	153	Mens
453	MURSTEIN-CLIMER ALUMNI CENTER	2	203	All Gender
454	OGDEN HALL	0	004	Staff Mens
455	OGDEN HALL	0	006	Staff Womens
456	OGDEN HALL	0	026	Mens
457	OGDEN HALL	0	030	Womens
458	OGDEN HALL	1	118A	All Gender
459	OLD MANSE	0	005	All Gender
460	OLD MANSE	1	106	All Gender
461	OLD MANSE	1	106A	All Gender
462	OLD MANSE	2	202	All Gender
463	PATTERSON PLACE	1	109	All Gender
464	PATTERSON PLACE	2	203A	
465	PATTERSON PLACE	2	207	
466	PEABODY HALL	0	008	Womens
467	PEABODY HALL	0	033	Mens
468	PEABODY HALL	1	101	Mens
469	PEABODY HALL	1	131	Womens
470	PEARSON HALL	0	026	Womens
471	PEARSON HALL	0	027	Mens
472	PEARSON HALL	0	093B	All Gender
473	PEARSON HALL	1	126	Womens
474	PEARSON HALL	1	127	Mens
475	PEARSON HALL	1	171	All Gender
476	PEARSON HALL	1	173	All Gender
477	PEARSON HALL	2	226	Womens
478	PEARSON HALL	2	227	Mens
479	PEARSON HALL	2	271	All Gender
480	PEARSON HALL	2	273	All Gender
481	PEARSON HALL	3	326A	Womens
482	PEARSON HALL	3	327	Mens
483	PEARSON HALL	3	371	Mens
484	PEARSON HALL	3	373	Womens
485	PEFFER PARK RESTROOMS	1	100	
486	PEFFER PARK RESTROOMS	1	101	
487	PHILLIPS HALL	0	007	Womens
488	PHILLIPS HALL	0	009	Mens
489	PHILLIPS HALL	1	103J	All Gender
490	PHILLIPS HALL	1	110	Mens
491	PHILLIPS HALL	1	111	Womens
492	PHILLIPS HALL	1	122	Womens
493	PHILLIPS HALL	1	124	Mens
494	PHILLIPS HALL	2	206	Womens
495	PHILLIPS HALL	2	208	Mens
496	POLICE SERVICES CENTER	1	104	Mens
497	POLICE SERVICES CENTER	1	105	Womens
498	PORTER HALL	0	012	Staff Mens
499	PORTER HALL	0	014	Womens
500	PORTER HALL	1	144	All Gender
501	PORTER HALL	2	251	
502	PRESIDENTS HALL	0	002A	Staff
503	PRESIDENTS HALL	1	105	All Gender
504	PRESIDENTS HALL	1	107	All Gender
505	PRESSER HALL	0	014	Womens
506	PRESSER HALL	0	018	Mens
507	PRESSER HALL	1	105	Womens
508	PRESSER HALL	1	108	Mens
509	PRESSER HALL	2	210	Mens
510	PRESSER HALL	2	215	Womens
511	PSYCHOLOGY BUILDING	0	001	
512	PSYCHOLOGY BUILDING	0	002	
513	PSYCHOLOGY BUILDING	0	012	
514	PSYCHOLOGY BUILDING	0	037	All Gender
515	PSYCHOLOGY BUILDING	0	038	All Gender
516	PSYCHOLOGY BUILDING	1	128	Mens
517	PSYCHOLOGY BUILDING	1	129	Womens
518	PSYCHOLOGY BUILDING	2	231	Mens
519	PSYCHOLOGY BUILDING	2	233	Womens
520	PSYCHOLOGY BUILDING	3	331	Mens
521	PSYCHOLOGY BUILDING	3	333	Womens
522	RECREATIONAL SPORTS CENTER	0	020	All Gender
523	RECREATIONAL SPORTS CENTER	0	034	All Gender
524	RECREATIONAL SPORTS CENTER	1	117	All Gender
525	RECREATIONAL SPORTS CENTER	1	141	Womens
526	RECREATIONAL SPORTS CENTER	1	142	Mens
527	RECREATIONAL SPORTS CENTER	1	162	Womens
528	RECREATIONAL SPORTS CENTER	1	164	Mens
529	RICHARD HALL	0	011	Womens
530	RICHARD HALL	0	023	Mens
531	RICHARD HALL	1	110	All Gender
532	ROUDEBUSH HALL	0	010	Mens
533	ROUDEBUSH HALL	0	012	Womens
534	ROUDEBUSH HALL	1	100	Mens
535	ROUDEBUSH HALL	1	108	Womens
536	ROUDEBUSH HALL	2	201	Mens
537	ROUDEBUSH HALL	2	224	Womens
538	SAWYER HALL	1	111	Womens
539	SAWYER HALL	1	115	Mens
540	SAWYER HALL	2	201	Mens
541	SAWYER HALL	2	202	Womens
542	SCOTT HALL	0	009	Staff
543	SCOTT HALL	0	011	
544	SCOTT HALL	0	012	
545	SCOTT HALL	1	138	All Gender
546	SCOTT HALL	1	145	All Gender
547	SESQUICENTENNIAL CHAPEL	0	007	Womens
548	SESQUICENTENNIAL CHAPEL	0	007A	Vestibule
549	SESQUICENTENNIAL CHAPEL	0	008	Mens
550	SESQUICENTENNIAL CHAPEL	1	105	
551	SHIDELER HALL	0	027	Mens
552	SHIDELER HALL	0	033	Womens
553	SHIDELER HALL	0	057	Mens
554	SHIDELER HALL	0	059	Womens
555	SHIDELER HALL	1	128	Mens
556	SHIDELER HALL	1	133	Womens
557	SHIDELER HALL	1	135	Family
558	SHIDELER HALL	2	234	Mens
559	SHIDELER HALL	2	240	Womens
560	SHRIVER CENTER	0	015	Staff Womens
561	SHRIVER CENTER	0	016	Staff Mens
562	SHRIVER CENTER	1	101E	
563	SHRIVER CENTER	1	106	Mens
564	SHRIVER CENTER	1	107	Womens
565	SHRIVER CENTER	1	108	All Gender
566	SHRIVER CENTER	1	109	All Gender
567	SHRIVER CENTER	2	208	Mens
568	SHRIVER CENTER	2	209	Womens
569	SHRIVER CENTER	2	210	Family
570	SHRIVER CENTER	3	301	Mens
571	SHRIVER CENTER	3	302	Womens
572	SHRIVER CENTER	3	312	Mens
573	SHRIVER CENTER	3	313	Womens
574	SHRIVER CENTER	3	314	All Gender
575	SHRIVER CENTER	3	315	All Gender
576	STANTON HALL	0	008	
577	STANTON HALL	0	015	Staff Womens
578	STANTON HALL	0	018	Staff Mens
579	STANTON HALL	1	154	
580	STONEBRIDGE HALL	1	173	All Gender
581	STONEBRIDGE HALL	1	174	All Gender
582	SYMMES HALL	1	111	All Gender
583	TAPPAN HALL	0	006	Staff Womens
584	TAPPAN HALL	0	007	Staff Mens
585	TAPPAN HALL	0	025	Womens
586	TAPPAN HALL	0	027	Mens
587	THOMSON HALL	0	055	
588	THOMSON HALL	0	061	All Gender
589	THOMSON HALL	1	130	All Gender
590	THOMSON HALL	1	132	All Gender
591	UPHAM HALL	0	023	Mens
592	UPHAM HALL	0	027	Womens
593	UPHAM HALL	0	061	Mens
594	UPHAM HALL	1	117	Mens
595	UPHAM HALL	1	123	Womens
596	UPHAM HALL	1	135	Womens
597	UPHAM HALL	1	137	
598	UPHAM HALL	1	151	Womens
599	UPHAM HALL	2	219	Mens
600	UPHAM HALL	2	223	
601	UPHAM HALL	2	239	Womens
602	UPHAM HALL	2	245	Mens
603	UPHAM HALL	2	267	Mens
604	UPHAM HALL	3	323	Mens
605	UPHAM HALL	3	325	All Gender
606	UPHAM HALL	3	329	Womens
607	UPHAM HALL	3	347	Womens
608	UPHAM HALL	3	353	Mens
609	UPHAM HALL	3	373	Womens
610	WARFIELD HALL	0	002	Mens
611	WARFIELD HALL	0	018	Womens
612	WARFIELD HALL	1	102	Mens
613	WARFIELD HALL	1	116	Womens
614	WARFIELD HALL	2	202	Womens
615	WARFIELD HALL	2	219	Mens
616	WELLS HALL	0	005	All Gender
617	WELLS HALL	0	028	Staff Mens
618	WELLS HALL	0	029	Staff Womens
619	WELLS HALL	1	108	All Gender
620	WESTERN DINING COMMONS	0	014	
